% Model,SOFC - BV-MS.mph
% Version,COMSOL 6.2.0.339
% Date,"Jan 31 2024, 20:39"
% Table,"Solution 1/Stationary Solver 5, Segregated solver - "
% Iteration number,Error: Current Distribution,"Error: Velocity U_a, Pressure P_a",Error: Mass Fractions,"Error: Velocity U_f, Pressure P_f",Error: Mass Fractions (2)
1,0.30239883912250787,0.014819488372491672,5.582740110402124E-4,0.014938264202018207,0.008338874702339103
2,2.7095261330948407E-4,0.007782814103631448,4.93246445487397E-4,0.00640264233442378,0.006478770088022033
3,1.7635668264421155E-4,0.004158161056829995,4.4055672589943766E-4,0.0025931646351743235,0.0049160525670560624
4,1.3420733405273278E-4,0.002243086524221485,3.9455653727169286E-4,0.0014908353929168187,0.00373008481084289
5,1.0285590129323523E-4,0.001254244230998966,3.5379919862574277E-4,0.0013400202883795986,0.0028309297338939637
6,7.939390561314284E-5,7.468153250827998E-4,3.176018645910192E-4,0.0012368562842021717,0.002149328011458188
7,6.179005856192642E-5,4.866826247739397E-4,2.8519642453559834E-4,0.001079567532973378,0.0016322490306107304
8,4.85631514163689E-5,3.5002506077962527E-4,2.562878776090243E-4,9.030070443198338E-4,0.0012396159224556656
9,3.863443933777061E-5,2.7303882524561416E-4,2.3030174609779306E-4,7.345708895885446E-4,8.446233992476979E-4
10,2.763575309632246E-5,2.249890715473179E-4,2.0717828146167463E-4,5.375128240819486E-4,6.834297222568495E-4
11,2.3736342452646143E-5,1.9138316593211166E-4,1.863012238091315E-4,4.096678535764666E-4,5.520953737166971E-4
12,1.8276488242274416E-5,1.6604522138343334E-4,1.677253426824881E-4,2.735920973173922E-4,4.884025750068794E-4
13,1.640635083866995E-5,1.459454759215846E-4,1.5090161026454958E-4,1.9855940412769727E-4,4.311807245628625E-4
14,1.4717516031948754E-5,1.2932762079752E-4,1.3586367538620596E-4,1.547513522106901E-4,3.802894842407152E-4
15,1.3216145158562266E-5,1.15306147156041E-4,1.2223892368526458E-4,1.2716748329117886E-4,3.352527296702214E-4
16,1.1859268459125506E-5,1.0315029635492045E-4,1.1006107863821037E-4,1.0822946932187638E-4,2.9549334164189427E-4
17,1.065281798321365E-5,9.254925723473813E-5,9.903149481117948E-5,9.409445864081926E-5,2.604318331877107E-4
NaN,NaN,NaN,NaN,NaN,NaN
18,0.3812219045830144,0.032208749037331334,0.0014346945115687223,0.028066811901964594,0.015397127847263511
19,5.942605159759629E-4,0.017283957885285917,9.86762013094683E-4,0.012908187337220182,0.012366844419401814
20,3.328402301593984E-4,0.00930765139739575,8.219127321999147E-4,0.005384352627984217,0.009440622645951231
21,2.541532290449622E-4,0.005045482213078401,6.853249506576523E-4,0.0029830370479426347,0.00720905374897326
22,1.9481914521940995E-4,0.0028036598850648678,5.712704511201931E-4,0.002632207447155039,0.0055081775586575355
23,1.478245614270895E-4,0.001550098385194559,5.130611497053824E-4,0.002445544237854072,0.0042135214488220425
24,1.1334320875428301E-4,9.162218964674281E-4,4.6066206322077326E-4,0.0021555430207511102,0.0032245845990397895
25,8.708789602669813E-5,6.051156156026651E-4,4.136608091845618E-4,0.0018202787986427358,0.0024682834575494085
26,6.709474283424627E-5,4.53329207774159E-4,3.7147638097617333E-4,0.001494640849704395,0.0018894017553677269
27,5.188175531590102E-5,3.727619542453164E-4,3.3371629881919705E-4,0.0012047387507254416,0.0014461212896457443
28,4.032373285639554E-5,3.220790526470655E-4,2.9982343157958344E-4,9.588393070280981E-4,9.930693042718667E-4
29,2.6351289534056736E-5,2.844855994013252E-4,2.6958929165863456E-4,6.928504699361282E-4,8.081437596170543E-4
30,2.205599520869846E-5,2.5379203274822847E-4,2.423727183625095E-4,5.243173355494824E-4,6.565946950867815E-4
NaN,NaN,NaN,NaN,NaN,NaN
31,0.23712725789822856,0.03597322058903953,0.0015543783539842483,0.030370016160107836,0.01604998049195268
32,6.238196877401092E-4,0.01929184811493101,0.0011934917025091406,0.014072595192368819,0.01299437746673241
33,3.5160006349639736E-4,0.010526271457707492,8.439789913151534E-4,0.005912334395467935,0.00999736297756235
34,2.7070689161750173E-4,0.005698172930053941,7.027755170411424E-4,0.003265593409674392,0.007699116521847506
35,2.0882777790621695E-4,0.0031659438832667814,5.849309998586015E-4,0.0028954438579772857,0.0059334575035881465
36,1.6154228861815559E-4,0.0017514227143655367,5.247033873415008E-4,0.0027150154680106856,0.004578385321783798
37,1.2469854577762933E-4,0.0010386924568296626,4.7068377916613526E-4,0.0024147826517935816,0.003534775138515903
38,9.632360873255519E-5,6.907673306714436E-4,4.221425087023306E-4,0.0020580468133771443,0.0027299622916215184
39,7.44567723588338E-5,5.213949825328231E-4,3.787739712779665E-4,0.0017058618938880859,0.002108671062512185
40,5.760841969566376E-5,4.310048912571215E-4,3.398495798702247E-4,0.0013879861602074275,0.0016287593852534238
41,4.4633346017284274E-5,3.73341691568589E-4,3.051223428278529E-4,0.0011150315209505028,0.0012579380411351772
42,3.4651275010331325E-5,3.301816433104958E-4,2.738994453958882E-4,8.879875334828018E-4,8.716600958316618E-4
43,2.192510368094811E-5,2.944137747523661E-4,2.461572096544901E-4,6.424091823851761E-4,7.141501496711791E-4
44,1.8184622818194652E-5,2.638154645255059E-4,2.2110436911600072E-4,4.8791222787792417E-4,5.842136539195554E-4
NaN,NaN,NaN,NaN,NaN,NaN
45,0.1737870819670289,0.04068318518310074,0.0015106982321534664,0.0335372642939237,0.016342891896472266
46,6.589454595765334E-4,0.021785821704708344,0.0011541450140006555,0.01592080217606909,0.01336314247092004
47,3.7138038422777117E-4,0.011901117340430449,8.1405380440386E-4,0.006790328291054709,0.010378398556429696
48,2.8970200661088315E-4,0.006433527953488428,6.764945110661702E-4,0.0036119317339999516,0.008069859642259695
