% Model,SOFC - BV-MS Simulation 2.mph
% Version,COMSOL 6.2.0.339
% Date,"Jan 31 2024, 23:10"
% Table,"Solution 1/Stationary Solver 5, Segregated solver - "
% Iteration number,Error: Current Distribution,"Error: Velocity U_a, Pressure P_a",Error: Mass Fractions,"Error: Velocity U_f, Pressure P_f",Error: Mass Fractions (2)
1,0.3083178177344523,0.015066949206164849,5.675769646643342E-4,0.014224129462444219,0.008291830966117212
2,2.7831702441813536E-4,0.007850143063294438,5.028572310132256E-4,0.006314081083729829,0.006447637964847744
3,1.8531616102662705E-4,0.00416646130516254,4.4962581425552964E-4,0.0023051795217472254,0.004898589583191581
4,1.4130395414685719E-4,0.0022676174243900114,4.0123762371206467E-4,0.0012172098947948798,0.0037209334250527235
5,1.0839985727656719E-4,0.0013116972363496177,3.5976838055088394E-4,0.0012200694375819605,0.0028267246862173447
6,8.376507767826268E-5,8.293358416088201E-4,3.217194732827583E-4,0.0011874316244982397,0.0021481210747245467
7,6.518923673946947E-5,5.750637637022092E-4,2.8919524410507086E-4,0.0010584934978722922,0.0016328471924734293
8,5.1278959524873564E-5,4.292972517350672E-4,2.58998305230503E-4,8.939885830995282E-4,0.0012412411756564077
9,4.074586022833028E-5,3.3565243260753354E-4,2.3338996015805853E-4,7.307794661961013E-4,8.465389219115452E-4
10,2.9105676409279773E-5,2.710468587557214E-4,2.0932806045274285E-4,5.353807068134205E-4,6.85466838800536E-4
11,2.4932484913720785E-5,2.23456829074424E-4,1.891382288038443E-4,4.086489773897542E-4,5.541338515794899E-4
12,1.915462339337603E-5,1.8773896550667394E-4,1.698047492505419E-4,2.729829339625066E-4,4.903840487407574E-4
13,1.714667805868073E-5,1.601849826517433E-4,1.5383274003568108E-4,1.9822677254063004E-4,4.330889803543237E-4
14,1.5508881972732875E-5,1.3870803242696365E-4,1.3812776851459E-4,1.545998211976837E-4,3.821125695500159E-4
15,1.38853526985116E-5,1.214679714046463E-4,1.2542583382115006E-4,1.2712528880124958E-4,3.369830180136265E-4
16,1.2594531470121923E-5,1.074227009110154E-4,1.1262252029459379E-4,1.0825147850678254E-4,2.9712567966217536E-4
17,1.1277041238628229E-5,9.572824440293096E-5,1.0253930841049684E-4,9.415073775408436E-5,2.619640927500507E-4
NaN,NaN,NaN,NaN,NaN,NaN
18,0.3861265608827334,0.032597298313131275,0.0014497206033632205,0.026302040347584543,0.01523611739532575
19,5.999666707671183E-4,0.017309394807449523,9.99234167752331E-4,0.0127536212181281,0.012245092895920857
20,3.491554086182196E-4,0.009350480846052354,8.307472333379316E-4,0.00490287286598367,0.009360133421843437
21,2.672544280050535E-4,0.0051266769168818215,6.92029835823756E-4,0.002448749094384266,0.0071560424876586275
22,2.0526162126873105E-4,0.0028965481459159526,5.769968580085828E-4,0.0023728431939028494,0.005473587252596516
23,1.5581670603077315E-4,0.001621783022275604,5.179735480591022E-4,0.0023275866599592973,0.004191527890945002
24,1.1968392399682454E-4,9.702917197392467E-4,4.660065928824832E-4,0.002097536437433953,0.003211155946311944
25,9.213177322541161E-5,6.438797676915131E-4,4.1838745084803517E-4,0.0017904095760479571,0.002460620265045535
26,7.110035601478464E-5,4.7809382181152266E-4,3.76801121524603E-4,0.0014785141352333445,0.0018855456211729436
27,5.5085298665828246E-5,3.8725691286511894E-4,3.384799414224368E-4,0.0011954115346641747,0.001444705452798471
