% Model,SOFC - BV-MS Simulation 4.mph
% Version,COMSOL 6.2.0.339
% Date,"Feb 1 2024, 21:01"
% Table,"Solution 1/Stationary Solver 5, Segregated solver - "
% Iteration number,Error: Current Distribution,"Error: Velocity U_a, Pressure P_a",Error: Mass Fractions,"Error: Velocity U_f, Pressure P_f",Error: Mass Fractions (2)
1,0.31763423761459286,0.014877268542398127,5.780686031230141E-4,0.01542143554534916,0.008265880636633702
2,2.839057644310213E-4,0.007834465354037133,5.149960267991255E-4,0.006749280603758399,0.006433744865824432
3,1.9681599427458072E-4,0.004170037292614887,4.6044030458034424E-4,0.0024799861136714915,0.004895387921736048
4,1.504886043762174E-4,0.0022808645845745048,4.113158379404943E-4,0.0013733895368572293,0.003723235797620147
5,1.1569667858838366E-4,0.0013181803062789759,3.684094488769423E-4,0.0013418983150895682,0.0028316200269389493
6,8.952783363064539E-5,8.240106696785592E-4,3.2976542866082606E-4,0.0012769059613628845,0.002154081058185085
7,6.977425725039739E-5,5.597070798073863E-4,2.96143285280948E-4,0.0011260352858603485,0.0016390700786232694
8,5.4908132939965334E-5,4.0739435435498307E-4,2.656253702719284E-4,9.465240268594933E-4,0.0012472720239120009
9,4.366388882335212E-5,3.1103038049045144E-4,2.3916900259492193E-4,7.724008623657747E-4,8.514241509742842E-4
10,3.1063827794442684E-5,2.4617092690532505E-4,2.1498468835224346E-4,5.654299183835336E-4,6.899550331468593E-4
11,2.6626143845277776E-5,2.000165944655854E-4,1.940771150358738E-4,4.315658821865868E-4,5.582165940299611E-4
12,2.0222550878866365E-5,1.6668900268573152E-4,1.7472691192721876E-4,2.8822669885643457E-4,4.941907678914947E-4
13,1.8159821397835403E-5,1.4196049592042701E-4,1.5808820382973106E-4,2.0929690604226566E-4,4.3665015359727234E-4
14,1.639148116398754E-5,1.233935574368248E-4,1.4240589858775817E-4,1.633451544565796E-4,3.8543912653251543E-4
15,1.4725996338162483E-5,1.0889532601748073E-4,1.2904480670890286E-4,1.344957581017206E-4,3.400798700956282E-4
16,1.3313629712493036E-5,9.734443513385664E-5,1.1627837011682834E-4,1.1472239537133767E-4,2.99997648292471E-4
17,1.1964384866921541E-5,8.775758719868978E-5,1.0553153383995862E-4,9.995862777977204E-5,2.646174370893214E-4
NaN,NaN,NaN,NaN,NaN,NaN
18,0.3937738343021924,0.03204623749902384,0.0014892991787660336,0.028184426882039284,0.015133027587764525
19,5.948869710544618E-4,0.017344277254269378,0.0011536706165669625,0.013402075671219489,0.012165042718358032
20,3.751943964383706E-4,0.009510515338325195,8.162501508349462E-4,0.005140354880805516,0.009310727583352019
21,2.849320928346415E-4,0.005172347330463451,6.818325294352994E-4,0.002694235797086931,0.007128635067552019
22,2.1919800500887573E-4,0.00286244059683811,5.701199406609224E-4,0.0025939540322175475,0.005459470107569269
23,1.6637218748704336E-4,0.001569676321484085,5.135231485843491E-4,0.002497722683090206,0.004185583227700266
24,1.280542158877308E-4,9.091209364302311E-4,4.6210741864861476E-4,0.002228840100381544,0.003210352858570284
25,9.874724071414296E-5,5.818526852696128E-4,4.1649915762333346E-4,0.001894285796495146,0.00246291979038322
26,7.63418805165817E-5,4.238654533466707E-4,3.750258330952906E-4,0.0015615803011846214,0.0018895625496843742
27,5.921118505471355E-5,3.440004702567512E-4,3.3843967219565895E-4,0.0012619547626712664,0.0014495186563128837
28,4.6145131996962656E-5,2.9728435367317027E-4,3.049971591657014E-4,0.0010063105222006324,9.97488942509865E-4
29,3.010348471807847E-5,2.6449839809625724E-4,2.757003968209739E-4,7.275373325619559E-4,8.131086038136028E-4
30,2.5216065560408665E-5,2.3851919807316442E-4,2.4869258578306323E-4,5.510729616522754E-4,6.617710065600559E-4
NaN,NaN,NaN,NaN,NaN,NaN
31,0.2449700390336045,0.03572405074120682,0.0016080505192606878,0.030764973591761835,0.01574895819026891
32,6.251517523231118E-4,0.01926191203499813,0.001245551455382117,0.014905705137805984,0.012760465749519757
33,3.9501157645331164E-4,0.010584780264667241,8.816149014262816E-4,0.005907495418436512,0.009847837001469234
34,3.048678346381393E-4,0.005768757045203224,7.359719556175086E-4,0.0031110987415885836,0.007604587443174705
35,2.3617670461573603E-4,0.003207934216105325,6.148849293986598E-4,0.0029243333825083578,0.005875324065661646
36,1.8262198644333402E-4,0.0017700185123374127,5.529669977372815E-4,0.0028079015860660063,0.004544663357991125
37,1.4153720749291723E-4,0.0010393088461264862,4.977076097918934E-4,0.0025165683757147044,0.003517239442410641
38,1.0976997934607635E-4,6.811779747379675E-4,4.477103732924252E-4,0.002153316804527772,0.002722942146280228
39,8.519477129374354E-5,5.089667346546123E-4,4.033711139724693E-4,0.0017891513363831122,0.0021082540300629673
40,6.619032893573546E-5,4.206422008177476E-4,3.631394412598483E-4,0.0014580202328089268,0.001632272881703403
41,5.149619699742762E-5,3.669999052028338E-4,3.275904944466844E-4,0.0011723322345348448,0.0012635922598810514
42,4.015016915566161E-5,3.2812497551854605E-4,2.9515430954373553E-4,9.339521803685472E-4,8.774323104835143E-4
43,2.555560607870997E-5,2.96274449071681E-4,2.666668833872505E-4,6.75803396733128E-4,7.200938298699222E-4
44,2.1259064596801453E-5,2.689520126252305E-4,2.4046868917329352E-4,5.132687360288546E-4,5.900897085535431E-4
NaN,NaN,NaN,NaN,NaN,NaN
45,0.1790600290111626,0.040353055027042464,0.0015765706333601185,0.034441304565116945,0.016005464694019988
46,6.583616692619885E-4,0.021682071996477686,0.0012148698477299855,0.017033012930302432,0.013094979976046873
47,4.174789279894791E-4,0.011933441193155248,8.579385411279258E-4,0.00698553999587353,0.010202459517131246
48,3.2654427421340373E-4,0.006498750775015042,7.148350171010778E-4,0.003580859962649375,0.007956349906469786
49,2.5553719766519136E-4,0.003604866483748754,5.960067330249639E-4,0.0032219211877526654,0.006209266629426058
50,2.0035334304450137E-4,0.0019809666807723554,5.352633592564493E-4,0.003090376190160853,0.0048518646295411865
51,1.56870030235744E-4,0.0011583343320334069,4.810276232126171E-4,0.002789901190807255,0.003793645777981193
52,1.2285459884734477E-4,7.583143773490659E-4,4.3213727409770474E-4,0.0024078192054129742,0.00296751024484271
53,9.623028541480855E-5,5.683563617753764E-4,3.887525137310384E-4,0.0020186501521570416,0.0023218066238613827
54,7.539014294584473E-5,4.7169126876352944E-4,3.4955050345642256E-4,0.0016604952174731709,0.0018167460860714615
