% Model,i0ref search.mph
% Version,COMSOL 6.2.0.339
% Date,"Feb 2 2024, 17:01"
% Table,"Solution 1/Stationary Solver 5, Segregated solver - "
% Iteration number,Error: Current Distribution,"Error: Velocity U_a, Pressure P_a",Error: Mass Fractions,"Error: Velocity U_f, Pressure P_f",Error: Mass Fractions (2)
1,0.28965572773265963,0.029817133053980645,6.181640885229957E-4,0.009832885193683904,0.0013219878636749718
2,0.004822178078615723,0.014132792791360354,6.061704063691968E-4,0.023733299089268092,0.008289395292288554
3,3.250247094458096E-4,0.008152692724095197,5.902067201678946E-4,0.01170901823068625,0.007033086046069714
4,1.9000041535944696E-4,0.005023768767884757,5.756458378299128E-4,0.005545535515042194,0.005916272346694853
5,1.61554284394484E-4,0.0032964984341775846,5.622008430475448E-4,0.0026761469882744474,0.004994350583533453
6,1.392599681060223E-4,0.0022806667772472195,5.49654969571952E-4,0.0016897459518774257,0.0042249635594625605
7,1.210941373726987E-4,0.0016562269727693577,5.378899782420963E-4,0.0014945289781564547,0.0035786332959455696
8,1.0610533541587875E-4,0.00126933943686939,5.268126167133715E-4,0.001420653281544284,0.003033411428694979
9,9.37020436198004E-5,0.001036046783180478,5.163358985807835E-4,0.0013144732290609764,0.002572367475616343
10,8.345452407614872E-5,9.009747566343276E-4,5.063809914054633E-4,0.0011803728117114637,0.002182022196454816
11,7.501447095662885E-5,8.246833273524395E-4,4.968637762969239E-4,0.001038142707229043,0.0018513389222222533
12,6.8083731664887E-5,7.805953981837444E-4,4.8747627153271323E-4,9.008751323804161E-4,0.0015711162050638346
13,6.237815549878203E-5,7.51620249971161E-4,4.7856964292178117E-4,7.750991502063735E-4,0.0013336115723020683
14,5.771891491714348E-5,7.310961402547642E-4,4.700348736037777E-4,6.632950044973964E-4,0.0011322828813669652
15,5.391069067539893E-5,7.148859078423489E-4,4.6178052293035626E-4,5.656778912085608E-4,8.626722038439848E-4
16,4.819770814247389E-5,7.008467751276275E-4,4.5374261937427017E-4,4.392142868425052E-4,7.601985291639157E-4
17,4.646359736366835E-5,6.874653883120543E-4,4.458983425030775E-4,3.574973762687098E-4,6.694772441719654E-4
18,4.4922185085865994E-5,6.745232903481623E-4,4.3816532813845024E-4,3.0021039237183226E-4,5.895802548881174E-4
19,4.174355736497591E-5,6.6174258029208E-4,4.304799760753903E-4,2.1334234331667917E-4,5.482705668992364E-4
20,4.0896172930630986E-5,6.480825785868485E-4,4.227909864367978E-4,1.654025159238266E-4,5.093788206564271E-4
21,4.005041831196276E-5,6.334346954739791E-4,4.1524339680960474E-4,1.372298963215296E-4,4.731033437670644E-4
22,3.9227535000643846E-5,6.18760862769623E-4,4.078797318719839E-4,1.1924279156105494E-4,4.394081305688302E-4
NaN,NaN,NaN,NaN,NaN,NaN
23,0.3711740977470238,0.025926499194601913,2.79395584079731E-4,0.027379800303595377,0.01032873288223035
24,3.9115464346395394E-4,0.014388543772322876,2.613104509649464E-4,0.013032725223947583,0.009032940701801802
25,2.276727153692815E-4,0.00851196290930423,2.4748313087098663E-4,0.005437688000238695,0.007665808606465761
26,1.9226060570129284E-4,0.005357074464072613,2.3636085944979429E-4,0.002332768638779334,0.00651333291692213
27,1.6346556770856268E-4,0.003547288640318343,2.2716955146603518E-4,0.0018142960421638598,0.0055407421434242625
28,1.3936646819972571E-4,0.002426539683020814,2.193519279142923E-4,0.0019321397643707445,0.004717706184069709
29,1.1899762573287185E-4,0.0016930489868172414,2.126245135691061E-4,0.0019331084465644215,0.0040192756166220756
30,1.0170953878988178E-4,0.0012008271916616132,2.0676050055914741E-4,0.001812845554413117,0.003425439301036399
31,8.701371083790595E-5,8.715125989670236E-4,2.0153578540816475E-4,0.0016353347101808575,0.0029200031695804287
32,7.451600878030189E-5,6.571087524576069E-4,1.9680544706429548E-4,0.001442459496521178,0.002489576279344095
33,6.388844699841129E-5,5.240208453886174E-4,1.924582395792426E-4,0.0012556503911255242,0.002122918096470814
34,5.485337975909652E-5,4.459987635812586E-4,1.8841312212255313E-4,0.001084474466070476,0.0018105154872529547
35,4.7175429896451595E-5,4.0208093006620176E-4,1.8460974559814683E-4,9.322094499249498E-4,0.001544301761502882
36,4.065521336981209E-5,3.7716643121460077E-4,1.809519882126549E-4,7.989961002661399E-4,0.0013174069869752256
37,3.512213600713685E-5,3.614728196293704E-4,1.7730038844788752E-4,6.835776694242606E-4,0.001123993379037719
38,3.0429038279470264E-5,3.488726917350238E-4,1.7384737712577264E-4,5.841501622136101E-4,8.603464794817962E-4
NaN,NaN,NaN,NaN,NaN,NaN
39,0.23024102641562516,0.02877699469243203,1.2965042718053526E-4,0.02926474025116582,0.010899268598099839
40,4.0268139279162247E-4,0.01600294078423253,1.0374443371132525E-4,0.014087986941618993,0.00957665393172638
41,2.4012559767907346E-4,0.009471454580706406,8.732646035682586E-5,0.005898143966771672,0.008171029306783801
42,2.039680511320547E-4,0.005957397855876407,7.622265875409486E-5,0.0025631455491257975,0.006980935449671562
43,1.7426603078798277E-4,0.003939352902568995,6.826166800489348E-5,0.002026595293727239,0.005972030647458809
44,1.4919977587444318E-4,0.0026863455337782123,6.157150292782417E-5,0.002161023498705842,0.005114181124088126
45,1.2785674070181613E-4,0.0018608002143921355,5.49688454179255E-5,0.0021667919990647874,0.004382520087199445
46,1.0961124797806493E-4,0.0012980590506883529,4.9716094799947965E-5,0.0020405121211673214,0.003757082148488445
47,9.39890612367126E-5,9.108486878754195E-4,4.598705000897537E-5,0.001850528402538781,0.0032217435622905284
48,8.060462113076586E-5,6.46724412900024E-4,4.3097095700369644E-5,0.0016417254672270016,0.0027631800467441845
49,6.91328931075484E-5,4.696760808170236E-4,4.0693937123959716E-5,0.0014378298495909263,0.0023702390139989024
50,5.92984788891822E-5,3.5409151622991164E-4,3.859378193134072E-5,0.0012496006613430363,0.00203344524381714
51,5.086615638956244E-5,2.8128506902249994E-4,3.670724774465909E-5,0.001080919128872049,0.0017447116407835143
52,4.363463761003963E-5,2.3705929189333456E-4,3.498260831084287E-5,9.323520678905002E-4,0.0014971147448076163
53,3.7431986151963354E-5,2.1057028469948893E-4,3.338561162761215E-5,8.028318348284901E-4,0.0012847596319224706
54,3.2111365127616135E-5,1.9417235218732834E-4,3.189458254512876E-5,6.905783474372213E-4,9.89045132549307E-4
NaN,NaN,NaN,NaN,NaN,NaN
55,0.16876546969514492,0.0323558139700577,2.043753953487897E-4,0.0318725708256414,0.011206810880254018
56,4.1617696626514226E-4,0.01803716140526572,1.905024128914145E-4,0.01557008909138703,0.009905609229359983
57,2.524234865160989E-4,0.010691926173210494,1.8333659278882658E-4,0.006642421676972968,0.00850222324652718
58,2.1602989005169038E-4,0.0067337460681225845,1.7877348524900205E-4,0.002923869836167906,0.0073094295180781525
59,1.8588089526623913E-4,0.004460791093097746,1.752296793843356E-4,0.0022424824246672454,0.006293087647652788
60,1.6022824123793173E-4,0.0030504019920126486,1.7213010499691299E-4,0.002357739214151225,0.0054241064885908845
61,1.382239552176518E-4,0.0021233071833959773,1.6918336478816912E-4,0.0023676085019862054,0.004678742135313246
62,1.1928072540464099E-4,0.0014962452408511472,1.6627241244989555E-4,0.002242342536796855,0.0040377788564861985
63,1.029467079149976E-4,0.0010700107391374205,1.633653134630535E-4,0.002047693122696679,0.0034857189057312023
64,8.885291434366065E-5,7.839176100184205E-4,1.604540933120891E-4,0.0018301327393409439,0.0030098159093333867
