% Model,i0ref search.mph
% Version,COMSOL 6.2.0.339
% Date,"Feb 2 2024, 17:00"
% Table,Probe Table - Average Current Density - 
% V_cell (V),i0ref_f (A/cm^2),i0ref_a (A/cm^2),"Average cell current density (A/cm^2), Domain Probe - Average Current Density"
0.05,0.2,8,2.098805635230096
0.15000000000000002,0.2,8,1.883889183968333
0.25,0.2,8,1.6662073702373223
0.35000000000000003,0.2,8,1.4498003679064972
0.45,0.2,8,1.2369397775944253
0.55,0.2,8,1.0285796273073782
0.6500000000000001,0.2,8,0.8248770956812823
0.7500000000000001,0.2,8,0.6299350337085531
0.8500000000000001,0.2,8,0.438358438660446
0.9500000000000001,0.2,8,0.2703702833768393
1.05,0.2,8,0.13179626566976438
1.1500000000000001,0.2,8,0.04219043938690621
0.05,0.2,10,2.096725221605461
0.15000000000000002,0.2,10,1.8854256525221351
0.25,0.2,10,1.6666296297150782
0.35000000000000003,0.2,10,1.4500809599490565
0.45,0.2,10,1.2371361917345338
0.55,0.2,10,1.0286862531508059
0.6500000000000001,0.2,10,0.8248938007960582
0.7500000000000001,0.2,10,0.6298727987282537
0.8500000000000001,0.2,10,0.43796260154717803
0.9500000000000001,0.2,10,0.27015902972418504
1.05,0.2,10,0.13182615474799256
1.1500000000000001,0.2,10,0.04234746276076352
0.05,0.2,12,2.0966485654183353
0.15000000000000002,0.2,12,1.8856181554681728
0.25,0.2,12,1.6668419471905727
0.35000000000000003,0.2,12,1.4502473120421158
0.45,0.2,12,1.237239009733212
0.55,0.2,12,1.0287194873210468
0.6500000000000001,0.2,12,0.8248581946806395
0.7500000000000001,0.2,12,0.6290495479103623
0.8500000000000001,0.2,12,0.43780683416122074
0.9500000000000001,0.2,12,0.2699592999200018
1.05,0.2,12,0.13183454118100446
1.1500000000000001,0.2,12,0.042438633179668075
0.05,0.4,8,2.1729343493555886
0.15000000000000002,0.4,8,1.9726484406722147
0.25,0.4,8,1.7478362975218353
0.35000000000000003,0.4,8,1.526460832130052
0.45,0.4,8,1.3082716531575191
0.55,0.4,8,1.092531418755104
0.6500000000000001,0.4,8,0.8817622367521865
0.7500000000000001,0.4,8,0.6768614413870361
0.8500000000000001,0.4,8,0.48200102667365174
0.9500000000000001,0.4,8,0.291711606159575
1.05,0.4,8,0.14019661778036754
1.1500000000000001,0.4,8,0.04299000564863454
0.05,0.4,10,2.1760615773982956
0.15000000000000002,0.4,10,1.9721056189926338
0.25,0.4,10,1.7481373007945193
0.35000000000000003,0.4,10,1.5268044254873592
0.45,0.4,10,1.3085323619306097
0.55,0.4,10,1.0926894203787494
0.6500000000000001,0.4,10,0.8818230600487872
0.7500000000000001,0.4,10,0.676840618440057
0.8500000000000001,0.4,10,0.4819210869366278
0.9500000000000001,0.4,10,0.29115115565161337
1.05,0.4,10,0.14028951917298624
1.1500000000000001,0.4,10,0.043207205600596245
0.05,0.4,12,2.1772459221044977
0.15000000000000002,0.4,12,1.972681342056094
0.25,0.4,12,1.7484606274508177
0.35000000000000003,0.4,12,1.5270328554420547
0.45,0.4,12,1.3086780869460193
0.55,0.4,12,1.092753337758707
0.6500000000000001,0.4,12,0.8818122463604495
0.7500000000000001,0.4,12,0.6767679085179987
0.8500000000000001,0.4,12,0.48180555829812277
