% Model,SOFC - BV-Fick.mph
% Version,COMSOL 6.2.0.339
% Date,"Feb 6 2024, 04:27"
% Table,"Solution 1/Stationary Solver 5, Segregated solver - "
% Iteration number,Error: Current Distribution,"Error: Velocity U_a, Pressure P_a",Error: Mass Fractions,"Error: Velocity U_f, Pressure P_f",Error: Mass Fractions (2)
1,0.32512961306165766,0.013312035639809018,2.6530355295814198E-5,0.014939394800397394,1.8483784019806258E-4
2,1.3151719267959463E-4,0.007113369848441674,2.2483937232075472E-5,0.007497640638964394,1.409045121735623E-4
3,8.537040783977014E-5,0.0038406639943166804,1.891680275209081E-5,0.003446766779153571,1.046530335708401E-4
4,6.563176428294774E-5,0.0020778120076886475,1.5853135110910672E-5,0.001702321309756695,7.793035146006002E-5
5,5.03095905163942E-5,0.001126957929230522,1.3214041747684322E-5,8.395851186014575E-4,5.816760780721613E-5
6,3.84901666843711E-5,6.124800859477306E-4,1.100087155633653E-5,4.1324487776907943E-4,4.3509236189525775E-5
7,2.9414836673251375E-5,3.3320484274386707E-4,9.138261255857327E-6,2.0275012669910403E-4,3.261001836597243E-5
8,2.247026839714195E-5,1.811902214554638E-4,7.588139158364788E-6,9.911098050659027E-5,2.4489937936208774E-5
9,1.7170526107976354E-5,9.829826991296081E-5,6.294756704438802E-6,4.8376687584816814E-5,1.843032263111177E-5
10,1.3134548799868007E-5,5.307261568938211E-5,5.221426618500013E-6,2.3832645479036047E-5,1.3901445347580715E-5
11,1.0065426818456696E-5,2.8422084516712083E-5,4.329205435878017E-6,1.224684818475435E-5,1.0512190264764839E-5
NaN,NaN,NaN,NaN,NaN,NaN
12,0.400896082407422,0.028538365456429723,7.479107356531491E-5,0.029383754505881318,3.498194634259821E-4
13,3.590523339465993E-4,0.015271834021755104,6.305918858529115E-5,0.016425887955217336,2.746698015947276E-4
14,1.7415660234895315E-4,0.00830016102947498,5.316060416018154E-5,0.008203648944154094,2.0370373084660905E-4
15,1.3439767131046305E-4,0.004505817982775457,4.455733407781907E-5,0.004088364859256479,1.5149316025268227E-4
16,1.0332376569266991E-4,0.0024472604259230366,3.723432916160145E-5,0.00202664327242822,1.1295773445096322E-4
17,7.920267298701764E-5,0.0013301144397195879,3.1049481391822835E-5,0.0010000343197482428,8.441198409148091E-5
18,6.058412953601262E-5,7.2288918026016E-4,2.586579551628611E-5,4.910123130788238E-4,6.320368850259036E-5
