% Model,SOFC - BV-Fick.mph
% Version,COMSOL 6.2.0.339
% Date,"Feb 6 2024, 04:27"
% Table,Probe Table - Average Power - 
% V_cell (V),i0ref_f (A/cm^2),Power (W/cm^2)
0.05,0.4,0.1067350114506881
0.15000000000000002,0.4,0.28986246466029697
0.25,0.4,0.4330992574214739
0.35000000000000003,0.4,0.5374996981549562
0.45,0.4,0.6047949598861703
0.55,0.4,0.6366929480525692
0.6500000000000001,0.4,0.6354378170482553
0.7500000000000001,0.4,0.6038792313601183
0.8500000000000001,0.4,0.5453797091263851
0.9500000000000001,0.4,0.4652160467203363
1.05,0.4,0.3691450345755393
1.1500000000000001,0.4,0.2656985476049376
0.05,0.6,0.10979438644897405
0.15000000000000002,0.6,0.2991251238120888
0.25,0.6,0.44813376399079835
0.35000000000000003,0.6,0.5576512032422954
0.45,0.6,0.6295112810160347
0.55,0.6,0.6652162486546869
0.6500000000000001,0.6,0.6668005129808642
0.7500000000000001,0.6,0.6368690144029675
0.8500000000000001,0.6,0.5782132341070974
0.9500000000000001,0.6,0.496320371229252
1.05,0.6,0.39597972778813073
1.1500000000000001,0.6,0.2867487127603583
0.05,0.8,0.11193076081155603
0.15000000000000002,0.8,0.30565609080406264
0.25,0.8,0.45877859691821543
0.35000000000000003,0.8,0.5718913237700145
0.45,0.8,0.6469532042976437
0.55,0.8,0.685334307816508
0.6500000000000001,0.8,0.688921148665336
0.7500000000000001,0.8,0.6601483562054525
0.8500000000000001,0.8,0.601324079915397
0.9500000000000001,0.8,0.5174635006792517
1.05,0.8,0.4146863534239088
1.1500000000000001,0.8,0.30074402019126534
