% Model,SOFC - BV-MS.mph
% Version,COMSOL 6.2.0.339
% Date,"Feb 7 2024, 14:08"
% Table,"Solution 1/Stationary Solver 5, Segregated solver - "
% Iteration number,Error: Current Distribution,"Error: Velocity U_a, Pressure P_a",Error: Mass Fractions,"Error: Velocity U_f, Pressure P_f",Error: Mass Fractions (2)
1,0.32513426716755817,0.01107961419386388,7.040303078854433E-5,0.015785539698537736,0.00287955578308953
2,1.1481356427200858E-4,0.006438260040486897,5.8131772150196846E-5,0.007550831461908866,0.0026678160723108443
3,8.633772014275397E-5,0.004150127152362048,4.9077112276649794E-5,0.0032285423119232837,0.0024289426585662375
4,7.854955224763836E-5,0.00290149896151519,4.2231048557502795E-5,0.001420623950900162,0.0022143387122906264
5,7.180944118142283E-5,0.002123335032918365,3.6988218976822906E-5,7.866697717141848E-4,0.0020229403524090845
6,6.577477247758417E-5,0.001582050193299144,3.292981068529157E-5,7.019324092656648E-4,0.0018506210346368333
7,6.027839931427656E-5,0.0011838372879902788,2.976003230113018E-5,7.333319053815624E-4,0.0016940569775523281
8,5.5243112830631895E-5,8.850838516258155E-4,2.725500212835309E-5,7.458596235569714E-4,0.0015511075468398884
9,5.06258109515622E-5,6.601616036956101E-4,2.52450873383058E-5,7.317327027993081E-4,0.001420346199758971
10,4.639287988090561E-5,4.912365070858006E-4,2.3604290802668878E-5,7.005236558043303E-4,0.0013006745056557847
11,4.251337261161823E-5,3.6492819758207883E-4,2.2239481777370624E-5,6.604310978471725E-4,0.001191143194313407
12,3.895829486112274E-5,2.7099200152506914E-4,2.1082868717769394E-5,6.167322979563947E-4,9.795145402057847E-4
13,2.8434738068192313E-5,2.0249030041209802E-4,2.0087566695729093E-5,5.108634536639953E-4,9.140949485214473E-4
14,2.6547521653508752E-5,1.5224913143401422E-4,1.921328571969669E-5,4.476667505689902E-4,8.527150098889667E-4
15,2.478455449124577E-5,1.1577755845361388E-4,1.843504715301362E-5,4.0563549799854887E-4,7.954413839226885E-4
16,2.3138001146596094E-5,8.970526668738703E-5,1.7734367485922433E-5,3.7422699164843775E-4,7.420640086213417E-4
17,2.160082042553162E-5,7.145656809116733E-5,1.709757408905323E-5,3.482587838639276E-4,6.923177810860358E-4
18,2.0166032457921997E-5,5.8999129954304644E-5,1.651434847649204E-5,3.252977335550763E-4,6.459431347991159E-4
NaN,NaN,NaN,NaN,NaN,NaN
19,0.39926441252737865,0.023938087599321183,1.8778307045114824E-4,0.03050227843650295,0.0061951455167169045
20,2.8648012915483275E-4,0.013916620828133358,1.7377637465775707E-4,0.015450962860789355,0.005811475074685412
21,1.8779343089212356E-4,0.009016663046151084,1.6604607414300783E-4,0.00688923725336953,0.005303445031342697
22,1.7160137119599285E-4,0.0063381327567047455,1.6113402327374942E-4,0.0030406105765211737,0.004846790112904941
23,1.5743605880028515E-4,0.0046617989280474175,1.5759740843322871E-4,0.0017209929283179726,0.004438630426901473
24,1.4463938441934665E-4,0.003487698879273259,1.5473475817856736E-4,0.0015858826982239054,0.004070437612818645
25,1.3293377531364056E-4,0.0026185890353071293,1.5221315681719505E-4,0.00167135340088381,0.0037353431383987264
26,1.221809626891004E-4,0.001963192576369047,1.4985775252673278E-4,0.0017047492416217614,0.003428892762023181
27,1.1229646669261914E-4,0.0014683477396407458,1.4757699245863894E-4,0.0016770199567994423,0.003148086658123326
28,1.0321181265650153E-4,0.001096288334872889,1.453281682985277E-4,0.0016107055355321983,0.002890611926169425
29,9.48640502635222E-5,8.182920574678009E-4,1.4309524316263538E-4,0.001523708533586333,0.002654469533951265
30,8.71942274937829E-5,6.121351959041318E-4,1.4087590183762847E-4,0.001427832882609044,0.002437852947470064
31,8.014772267444004E-5,4.6068937080049477E-4,1.386743044430792E-4,0.0013299765885858635,0.0022391116609535335
32,7.367419008211335E-5,3.508350383970724E-4,1.3649693614790329E-4,0.001234042436071234,0.0020567385138492733
33,6.772734236964485E-5,2.7252363803816114E-4,1.3435048788366154E-4,0.0011420985862378862,0.0018893576381075038
34,6.226462718458168E-5,2.1795197321462895E-4,1.3224082213019494E-4,0.0010550669347036208,0.001735709895148077
35,5.724688810650852E-5,1.8089259680828277E-4,1.3017257930368053E-4,9.734393626586541E-4,0.0015946506136434752
36,5.263820731220149E-5,1.5627090210528426E-4,1.2814914089531037E-4,8.973265089449958E-4,0.0014651318802279855
37,4.840555985158947E-5,1.4002166905517738E-4,1.2617275153825258E-4,8.26614966501677E-4,0.0013461947323862864
38,4.4518598844128965E-5,1.2909023413227054E-4,1.2424444064617455E-4,7.611348071938795E-4,0.0012369630769346086
39,4.094948230447507E-5,1.2136880653057055E-4,1.2236455599054003E-4,7.005981239455907E-4,0.0011366359739926946
40,3.767264497688087E-5,1.1552342872604205E-4,1.2053270958293071E-4,6.447081054696596E-4,9.378253936162174E-4
NaN,NaN,NaN,NaN,NaN,NaN
41,0.24834156986284966,0.026639496187150478,2.887838835286941E-4,0.03384699234134772,0.006536807535736048
42,2.9584347632866055E-4,0.015495344023407872,2.805429395894253E-4,0.017326233345092173,0.006145570766545572
43,2.0189979322657542E-4,0.010044924179100941,2.7577737386859694E-4,0.007819019004912681,0.005627544180177186
44,1.8538396757061693E-4,0.00706756890738533,2.7202608552296206E-4,0.003489579411840684,0.005160414750804121
45,1.7078003923457242E-4,0.0052041822762974674,2.6870036826008163E-4,0.0019771698125776818,0.004741620705198641
46,1.5749940285071748E-4,0.0038973418102489638,2.655100690480861E-4,0.0017882291558711696,0.0043628632317335115
47,1.4529746262536002E-4,0.002928580525848934,2.623237424392425E-4,0.0018726470080670356,0.00401730987965798
48,1.3404787377742608E-4,0.0021978958737646193,2.5909052233904155E-4,0.0019131796136234,0.0037004414443846715
49,1.2366954881874853E-4,0.001646612465346737,2.558004523382735E-4,0.0018897745053627502,0.00340923081521131
50,1.1409586748167602E-4,0.0012330200395181273,2.524638405225268E-4,0.0018236060788836368,0.0031413754390587803
51,1.0526570681303856E-4,9.252913549996884E-4,2.4909863406523755E-4,0.0017333930206898662,0.0028949199274884946
52,9.712211057734108E-5,6.987383744595364E-4,2.457245398833058E-4,0.0016318307933127362,0.0026681019929482813
53,8.961210197301659E-5,5.342751078254222E-4,2.4235968519463659E-4,0.0015265405105299402,0.002459309779003071
54,8.268667326181457E-5,4.1714358955569514E-4,2.390194315620307E-4,0.0014219618209139026,0.002267065584799342
55,7.630056074825955E-5,3.357816063361498E-4,2.3571610772211141E-4,0.0013207582402046936,0.002090024329637245
56,7.04120730033769E-5,2.808821454662605E-4,2.3245893356196875E-4,0.0012243934130471124,0.0019269543368348292
57,6.498275435904163E-5,2.4479710826339623E-4,2.292547345860369E-4,0.0011335801928738754,0.0017767265385190637
58,5.997708903342083E-5,2.2137739833612895E-4,2.2610773613817794E-4,0.0010485514992960123,0.0016383094654359195
59,5.536239385837292E-5,2.05985958980887E-4,2.2302083389754413E-4,9.693471568220013E-4,0.0015107572847874663
60,5.110851336752867E-5,1.9544045695158176E-4,2.1999533519747179E-4,8.957501161542053E-4,0.0013932021080910663
61,4.718765229686528E-5,1.87727852654763E-4,2.1703164232452513E-4,8.274974651417163E-4,0.001284847830447006
62,4.3574194309044095E-5,1.8165398385665713E-4,2.1412938662230283E-4,7.643066722773964E-4,0.0011849633143518913
63,4.024453570263123E-5,1.7654966747991812E-4,2.11287534825988E-4,7.058387841799215E-4,9.812931649822124E-4
NaN,NaN,NaN,NaN,NaN,NaN
64,0.1812804566338141,0.03004560971255377,3.7002885584706303E-4,0.037242501111754325,0.006639433228549254
65,3.019343454172268E-4,0.017499529558544648,3.630333628475779E-4,0.019307620236186412,0.006262185999188337
66,2.116369170778976E-4,0.011356152992268123,3.586072356142314E-4,0.008790501113704037,0.00575546289668583
67,1.9525982950453194E-4,0.008000762350791064,3.5476411402825454E-4,0.003919710399657675,0.00529668318932204
68,1.8065972890793039E-4,0.005899890296811324,3.510146932158384E-4,0.002175003552576573,0.004884395636454724
69,1.6730696666152138E-4,0.004423747485591398,3.471990777329435E-4,0.0019242328799920203,0.004510763076597485
70,1.54986771694327E-4,0.0033272178654356888,3.432703996091931E-4,0.002014365379697082,0.004169048737252321
71,1.4358332528761997E-4,0.0024992194761230945,3.392268290886075E-4,0.0020703468975281428,0.0038547949866438694
72,1.3302057014578548E-4,0.0018743765976373373,3.3508917211692434E-4,0.002058936333406611,0.003565059273147217
73,1.2323615902801104E-4,0.0014060897540942522,3.3088670884835335E-4,0.0019991225797526494,0.003297654436778866
74,1.1417339075531819E-4,0.0010586522562332581,3.266492633236273E-4,0.0019105960458767077,0.0030507381155443114
75,1.0577942155160657E-4,8.042772764112038E-4,3.224037137568316E-4,0.0018074947735652951,0.00282266822415446
76,9.800513357149564E-5,6.213688356532718E-4,3.181726862133575E-4,0.0016982979618667576,0.0026119552206488373
77,9.080499105707468E-5,4.930432079331646E-4,3.1397400389296273E-4,0.0015885325907553489,0.002417228816442672
78,8.413674873360381E-5,4.057784919689047E-4,3.0982137621270763E-4,0.0014813590688939515,0.00223723208792964
79,7.796123879984376E-5,3.484079457993139E-4,3.057248541174007E-4,0.0013788852300732806,0.0020708170538814904
80,7.224225793638559E-5,3.116955424080571E-4,3.0169152322944847E-4,0.0012817720023094279,0.0019169328471794755
81,6.694629708544136E-5,2.8838465960103225E-4,2.977259351668019E-4,0.001190380435393176,0.0017746087088678264
82,6.204227454381905E-5,2.7325659560249667E-4,2.938308240511434E-4,0.0011047650686087183,0.0016429557710246983
83,5.750144732672578E-5,2.6290870155102226E-4,2.900074712107708E-4,0.001024849915472546,0.0015211556368320907
84,5.3297209952772115E-5,2.5527188818255854E-4,2.862560416942887E-4,9.504291708554178E-4,0.0014084546895408287
85,4.9404933306171343E-5,2.491719212210984E-4,2.8257575738292365E-4,8.81283815851606E-4,0.0013041607028099337
86,4.580182974531139E-5,2.439664453671587E-4,2.789654888669388E-4,8.17014318085246E-4,0.001207634857772078
87,4.246679575401545E-5,2.393128451508847E-4,2.7542374516696514E-4,7.573643963965093E-4,0.0011182888799057026
88,3.9380297365332945E-5,2.350288930294357E-4,2.719487026398482E-4,7.020454448899412E-4,9.298018537204865E-4
NaN,NaN,NaN,NaN,NaN,NaN
89,0.14324264736195638,0.03445096056765313,4.2466743914647525E-4,0.04061455599301943,0.006635784842515387
90,3.084707864578934E-4,0.02010192988588141,4.1814715563866554E-4,0.021584004881359083,0.006282240280635576
91,2.211211423326168E-4,0.013059410135488543,4.137405134722654E-4,0.009962378283034475,0.0057968940575797
92,2.0502804742798307E-4,0.009215427720905169,4.09577932576053E-4,0.004427651417134908,0.005356026770701634
93,1.9059218525138442E-4,0.006807346478558237,4.053926119260574E-4,0.0023709111992324446,0.004958619181095128
