% Model,SOFC - BV-MS.mph
% Version,COMSOL 6.2.0.339
% Date,"Feb 7 2024, 19:37"
% Table,Probe Table - Average Power - 
% V_cell (V),sigma_io (S/cm),Power (W/cm^2)
0.05,0.001,0.09480912272991303
0.15000000000000002,0.001,0.2528875096420756
0.25,0.001,0.3699861800224658
0.35000000000000003,0.001,0.4470686842989788
0.45,0.001,0.4867066603948673
0.55,0.001,0.4902016739725441
0.6500000000000001,0.001,0.4608209790851029
0.7500000000000001,0.001,0.4013452948941889
0.8500000000000001,0.001,0.3187546187249224
0.9500000000000001,0.001,0.21085236153946776
1.05,0.001,0.1131865875879739
1.1500000000000001,0.001,0.04035085334421565
0.05,0.005,0.0971909763702945
0.15000000000000002,0.005,0.2641491003322618
0.25,0.005,0.3890122914846389
0.35000000000000003,0.005,0.47418118240191937
0.45,0.005,0.5208903588262928
0.55,0.005,0.5300425822507411
0.6500000000000001,0.005,0.5042175299757933
0.7500000000000001,0.005,0.44595377486034704
0.8500000000000001,0.005,0.35912952660660474
0.9500000000000001,0.005,0.24341481936778528
1.05,0.005,0.1319019910426943
1.1500000000000001,0.005,0.04629933026484654
0.05,0.01,0.09958342658297051
0.15000000000000002,0.01,0.2713277601317372
0.25,0.01,0.4005123659332564
0.35000000000000003,0.01,0.48887557012497873
0.45,0.01,0.5383107664205208
0.55,0.01,0.5492841828307419
0.6500000000000001,0.01,0.5240812149242006
0.7500000000000001,0.01,0.4649740592601812
0.8500000000000001,0.01,0.3760903151083479
0.9500000000000001,0.01,0.25596494755505694
1.05,0.01,0.13866456212204006
1.1500000000000001,0.01,0.048263493265741884
0.05,0.05,0.10489344831252018
0.15000000000000002,0.05,0.28622489740687157
0.25,0.05,0.42350941681622517
0.35000000000000003,0.05,0.5188343195740313
0.45,0.05,0.5730353205693681
0.55,0.05,0.5865407840016393
0.6500000000000001,0.05,0.5614621460990421
0.7500000000000001,0.05,0.49964162862631534
0.8500000000000001,0.05,0.405429951952019
0.9500000000000001,0.05,0.27690117956199684
1.05,0.05,0.14982541430324273
1.1500000000000001,0.05,0.051429496943913654
0.05,0.1,0.10671925447209217
0.15000000000000002,0.1,0.29109824560506026
0.25,0.1,0.4307848443725202
0.35000000000000003,0.1,0.5279672090176202
0.45,0.1,0.5834018531511552
0.55,0.1,0.5974705489404712
0.6500000000000001,0.1,0.5722419205348213
0.7500000000000001,0.1,0.5095238535028449
0.8500000000000001,0.1,0.414159672547334
0.9500000000000001,0.1,0.28277859918678255
1.05,0.1,0.1529661169454495
1.1500000000000001,0.1,0.05227686581757269
