% Model,SOFC - BV-Fick.mph
% Version,COMSOL 6.2.0.339
% Date,"Feb 5 2024, 17:07"
% Table,"Solution 1/Stationary Solver 5, Segregated solver - "
% Iteration number,Error: Current Distribution,"Error: Velocity U_a, Pressure P_a",Error: Mass Fractions,"Error: Velocity U_f, Pressure P_f",Error: Mass Fractions (2)
1,0.3255189550235011,0.055354148903342636,1.3860311631441776E-4,0.059180291621616136,8.509208161692549E-4
2,0.007125628573992503,0.028513901574801465,1.0533946732103003E-4,0.07229685222716023,6.859992468811901E-4
3,0.0024089436944406558,0.01563752313572562,8.75541743439514E-5,0.04703076841485149,5.169257764482955E-4
4,5.677796144430403E-4,0.008517197652111097,7.366079428240978E-5,0.024210208849267615,3.937671457366404E-4
5,4.013456494062742E-4,0.004637711336328315,6.17935622573978E-5,0.012149135058181373,2.994311342492129E-4
6,3.1999555411934953E-4,0.002536578710799779,5.171755448722561E-5,0.006083394285556931,2.2855863108708576E-4
7,2.54542836588778E-4,0.0013960314152829684,4.323895887053054E-5,0.0030445683866733623,1.751454542413318E-4
8,2.020872831255729E-4,7.739980042480303E-4,3.6125581172006045E-5,0.0015253334279942848,1.3470039174002802E-4
9,1.6022680408281782E-4,4.327517704338907E-4,3.017420098266476E-5,7.662667343285165E-4,1.039352921868789E-4
10,1.2692699665036916E-4,2.4432077704164134E-4,2.520095119028642E-5,3.868494139936242E-4,8.043445629755035E-5
11,1.0050090590115521E-4,1.3954021841757597E-4,2.1049448951776808E-5,1.9698878251205818E-4,6.241429670259977E-5
12,7.956798367643499E-5,8.083133269226602E-5,1.75853343721535E-5,1.0182286780593936E-4,4.854535822930416E-5
13,6.301356922267598E-5,4.7658963242227616E-5,1.4695862975126637E-5,5.401875633156809E-5,3.78326818189998E-5
14,4.994405528788086E-5,2.8735632713759703E-5,1.228552820814618E-5,2.9927862642555085E-5,2.9535944804085124E-5
NaN,NaN,NaN,NaN,NaN,NaN
15,0.40176484960470715,0.03211129986057562,7.921945142851415E-5,0.031875508266326416,3.2503055605305687E-4
16,3.9797748475113055E-4,0.017287074697148446,6.688462013663102E-5,0.018360582546518765,2.652833600453818E-4
17,2.7163783359692925E-4,0.009456435130172986,5.649029768602657E-5,0.009236975389019691,2.016229525896008E-4
18,2.1691569767470686E-4,0.0051722502470848055,4.745266124141104E-5,0.004635566364006231,1.5374178224530547E-4
19,1.723830140841732E-4,0.002836099645077449,3.972558427406718E-5,0.0023205053513868233,1.175720058280648E-4
20,1.365599201012444E-4,0.0015609928054686572,3.3194497133161535E-5,0.001161467040219727,9.013290810681218E-5
21,1.0792977610002828E-4,8.629104574475826E-4,2.7710042349615585E-5,5.821943571356808E-4,6.925245775327468E-5
22,8.515915590210312E-5,4.7924557859388705E-4,2.3117721072398994E-5,2.9277177247458483E-4,5.331643170167247E-5
23,6.711610090026572E-5,2.675038467149939E-4,1.9282425275478623E-5,1.4808334758472654E-4,4.112288551016451E-5
NaN,NaN,NaN,NaN,NaN,NaN
24,0.24997022651015072,0.035797519992611423,8.402185445042601E-5,0.034829752100662935,3.287400916416898E-4
25,4.494747104719254E-4,0.019256678458952875,7.073201986337922E-5,0.020258485506304182,2.694899257547548E-4
26,3.0268888337063994E-4,0.010548938295358775,5.967138457602711E-5,0.01018915561236804,2.0512991693884754E-4
27,2.4271780388656185E-4,0.005773226587653021,5.0074116751624504E-5,0.005111519155643964,1.5667461720901172E-4
28,1.9362430912284564E-4,0.0031658001625200806,4.18887602495364E-5,0.0025585590949516223,1.2004674188284988E-4
29,1.5391752705883806E-4,0.0017418847141520597,3.497662638865152E-5,0.0012803562117508428,9.223068621327453E-5
30,1.2202024523268893E-4,9.622770308145091E-4,2.9179753672484186E-5,6.414726315359358E-4,7.102388763906608E-5
31,9.653152595016793E-5,5.339064848167778E-4,2.433111437860192E-5,3.222737174120116E-4,5.480248800935391E-5
32,7.624868496242362E-5,2.97607511048181E-4,2.0284822599425216E-5,1.6272262339882864E-4,4.236009876683714E-5
33,6.016155093288044E-5,1.6673786388087943E-4,1.6911388256848856E-5,8.289893875669856E-5,3.279344524313074E-5
NaN,NaN,NaN,NaN,NaN,NaN
34,0.1826119497732632,0.040098227736569514,8.071336823307168E-5,0.03709893353632065,3.1430866191995864E-4
35,5.004260419585481E-4,0.02152354826017334,6.778175502219102E-5,0.021715017795133157,2.6008079255840285E-4
36,3.2502240894185673E-4,0.011806588299999216,5.719021716054073E-5,0.010933108884540901,1.9841893444281938E-4
37,2.6202301903656823E-4,0.006463981423407947,4.798684460421784E-5,0.005483785399714702,1.5191586143195447E-4
38,2.100803964270333E-4,0.0035435988116370794,4.0137283351854755E-5,0.002745106039934423,1.1670425235195822E-4
39,1.6780550719886804E-4,0.001948297080333812,3.3506075713075485E-5,0.0013733186123368272,8.990867878961738E-5
40,1.3364441207298666E-4,0.0010750518945067769,2.7945089420399736E-5,6.874039453778158E-4,6.943318918053811E-5
41,1.0619470811753766E-4,5.955170905208803E-4,2.329634341056367E-5,3.4469143002551785E-4,5.373061082996898E-5
42,8.423513769471031E-5,3.312367437485475E-4,1.941755604047459E-5,1.7348774435862818E-4,4.1654074162065044E-5
43,6.673007014345584E-5,1.8505263654103335E-4,1.6185120281227647E-5,8.796128840875188E-5,3.234429178862494E-5
NaN,NaN,NaN,NaN,NaN,NaN
44,0.14445599100879136,0.04548505496864531,7.849154225955844E-5,0.039934443654744516,3.0398402023497335E-4
45,5.717774386612678E-4,0.024335369046368755,6.568750625132201E-5,0.024134830295241702,2.537952617338465E-4
46,3.583368659182402E-4,0.013373615644958274,5.541127257316531E-5,0.012293830701433597,1.941818457690369E-4
47,2.907309012422709E-4,0.007326682987451477,4.6479960562236055E-5,0.00619929767207977,1.4911891984188778E-4
48,2.345151451789344E-4,0.004015762023415978,3.886584419388994E-5,0.0031107482025888983,1.1492505333214358E-4
49,1.8841450260642285E-4,0.002206049010361176,3.243484244737258E-5,0.0015573666514061466,8.883933195455679E-5
50,1.508944603737653E-4,0.0012155368035503594,2.7041854740994516E-5,7.791277806582901E-4,6.885006203613557E-5
51,1.2054250510633157E-4,6.719392941564731E-4,2.253607100316377E-5,3.900226356443869E-4,5.347515617644915E-5
52,9.61090322053955E-5,3.7267186380771734E-4,1.8778363926699166E-5,1.9571621907907226E-4,4.161254999188573E-5
53,7.651683309437931E-5,2.0739086930748917E-4,1.564813682804594E-5,9.880138806235405E-5,3.243573008277512E-5
NaN,NaN,NaN,NaN,NaN,NaN
54,0.11988351740565159,0.0522395730266401,7.603281098694712E-5,0.04472802622347055,2.9118990386766314E-4
55,6.618777489494132E-4,0.02780267185267268,6.332515614442052E-5,0.027312084854684043,2.45474350209403E-4
56,3.9837688533954634E-4,0.015314272571613238,5.3393893549374726E-5,0.013885946457211418,1.884327169407962E-4
57,3.2555949596625765E-4,0.008396640482509116,4.476909829276431E-5,0.006980402652307784,1.451742143399576E-4
58,2.643563695215146E-4,0.004600634361595837,3.742052790582213E-5,0.0034946856758486986,1.1227333973991025E-4
59,2.1373171239912829E-4,0.0025241199478996373,3.121742041901506E-5,0.0017458454104712431,8.710626136052567E-5
60,1.722032219402986E-4,0.001387757516838718,2.6016145099789165E-5,8.7124587623715E-4,6.776300914073908E-5
61,1.3835914800995223E-4,7.646611686657116E-4,2.1672237054230292E-5,4.346478619773495E-4,5.283703226558258E-5
62,1.109240013516763E-4,4.221589918221428E-4,1.8052238112127826E-5,2.1708385891096942E-4,4.128097802229829E-5
63,8.878001664629678E-5,2.334373588759742E-4,1.5038011619148691E-5,1.0896212040046968E-4,3.230871494523226E-5
64,7.096861964941452E-5,1.2922944472692528E-4,1.2529971644243838E-5,5.552348897595962E-5,2.532594127791568E-5
NaN,NaN,NaN,NaN,NaN,NaN
65,0.10276037258577098,0.06078441291754544,7.090273685798911E-5,0.048220225097950806,2.692027404231931E-4
66,7.661677397162742E-4,0.03207508906769232,5.8652759511299116E-5,0.030217154679941047,2.2966225845852774E-4
67,4.3670808532857966E-4,0.01771623309460662,4.943349144311212E-5,0.015576556731861126,1.7691694402096502E-4
68,3.597312176054262E-4,0.009722027639229181,4.1433018636794834E-5,0.007876654106689286,1.368208350298997E-4
69,2.944173984840408E-4,0.005322864625665753,3.461667553384692E-5,0.003951577430980811,1.0625157891505094E-4
70,2.3985704102547146E-4,0.002914163204145945,2.8865272649042597E-5,0.001973559837685316,8.279676777662678E-5
71,1.946684680552561E-4,0.001596443997340365,2.4044835059794685E-5,9.825477310363626E-4,6.470715555268007E-5
72,1.5750684196847237E-4,8.749130592294965E-4,2.0019156914994252E-5,4.879967776471333E-4,5.069472787513683E-5
73,1.2712453965674046E-4,4.792802136709585E-4,1.6666949464676927E-5,2.4215292781202915E-4,3.9800751376406994E-5
74,1.0240386302973523E-4,2.6209442241041783E-4,1.3877618323597567E-5,1.2066814401373628E-4,3.130529871813011E-5
75,8.236870590515424E-5,1.4281153667708405E-4,1.1558126087275766E-5,6.134561496652698E-5,2.4663386468736754E-5
NaN,NaN,NaN,NaN,NaN,NaN
76,0.09018810743754635,0.07187054440618272,6.687666054001567E-5,0.05448457033177903,2.485321819584322E-4
77,8.969654075174887E-4,0.03742622989875486,5.4787604757751576E-5,0.03476992822575586,2.1426077519395593E-4
78,4.906742883445968E-4,0.020740389593539833,4.611551544472195E-5,0.017956948687536108,1.658180869088555E-4
79,4.082140696429051E-4,0.011391313843293279,3.861720773845278E-5,0.009088259534963167,1.2885150410853267E-4
80,3.3736043274799676E-4,0.006227258987108038,3.22338346323255E-5,0.004556885727662551,1.0058349747669941E-4
81,2.7743857606883795E-4,0.003396304339737411,2.685435992418244E-5,0.002268592349448756,7.88157740869206E-5
82,2.2722027591736937E-4,0.0018486141064450517,2.2352402595280866E-5,0.0011228309476659533,6.195464809397017E-5
83,1.8545460900403044E-4,0.0010031500565802428,1.8595742473163914E-5,5.527018339411893E-4,4.883067749941312E-5
84,1.5094234548703253E-4,5.415038408209274E-4,1.5469893297437168E-5,2.7105460708334275E-4,3.8574605048490666E-5
85,1.2257641419081245E-4,2.897269657235231E-4,1.2871523917485627E-5,1.337097595572365E-4,3.053271267597018E-5
86,9.936531805465535E-5,1.5278407682409507E-4,1.0713021784409224E-5,6.858114016526538E-5,2.4209154676860653E-5
NaN,NaN,NaN,NaN,NaN,NaN
87,0.08062113542441661,0.08633717668178743,6.209031999416556E-5,0.06114314533755292,2.2347904657261475E-4
88,0.0010400367118165528,0.04407189872117624,5.0153084914676364E-5,0.03993085963141566,1.9442362774125602E-4
89,5.547251587867485E-4,0.024508984410998563,4.2128596534856655E-5,0.020842555895815684,1.5130420458014636E-4
90,4.668392564696793E-4,0.013461922863423672,3.521919275358186E-5,0.010566177031662358,1.1825906511568468E-4
91,3.9031775555191736E-4,0.0073320901172416585,2.9353971374278256E-5,0.005281737236870403,9.28982111192117E-5
92,3.2463746162436256E-4,0.003968003412106328,2.441932022631586E-5,0.0026117785347588686,7.327905449231356E-5
93,2.687853762475755E-4,0.0021320571495927047,2.0297393945560772E-5,0.00127802339006507,5.800068666708021E-5
94,2.2167236637206367E-4,0.0011337321280321425,1.686480856569891E-5,6.18636237969836E-4,4.604222640423142E-5
95,1.822356936318148E-4,5.929928192404896E-4,1.4012469690486814E-5,2.9758615114161216E-4,3.6640325372544346E-5
96,1.4942751972335112E-4,3.0184431617511637E-4,1.1644764817666888E-5,1.462947514945586E-4,2.9220776294483273E-5
97,1.2226898339838063E-4,1.466768860544866E-4,9.680815182634405E-6,8.018505602063838E-5,2.334737927583975E-5
NaN,NaN,NaN,NaN,NaN,NaN
98,0.07315343986857875,0.10539255973526605,5.6096087698844375E-5,0.0714673053730809,1.934730249853638E-4
99,0.0011725916968424496,0.052351044555747975,4.443590721483469E-5,0.04871918491813144,1.6931160172515517E-4
