% Model,SOFC - BV-Fick.mph
% Version,COMSOL 6.2.0.339
% Date,"Feb 5 2024, 17:06"
% Table,Probe Table - Average Power - 
% V_cell (V),sigma_io (S/cm),Power (W/cm^2)
0.05,0.001,0.09921396566264065
0.15000000000000002,0.001,0.26261246669993693
0.25,0.001,0.3816510242287807
0.35000000000000003,0.001,0.4597916703909139
0.45,0.001,0.5003152433100571
0.55,0.001,0.5065364234186109
0.6500000000000001,0.001,0.48323728118355813
0.7500000000000001,0.001,0.4353641101285491
0.8500000000000001,0.001,0.3692983028376149
0.9500000000000001,0.001,0.2928137711949886
1.05,0.001,0.21456757395972723
1.1500000000000001,0.001,0.14202610922911033
0.05,0.005,0.10243855686165551
0.15000000000000002,0.005,0.27688922138929906
0.25,0.005,0.4112369114363038
0.35000000000000003,0.005,0.5071493352819774
0.45,0.005,0.5663292104988352
0.55,0.005,0.590924100330697
0.6500000000000001,0.005,0.5836359944690773
0.7500000000000001,0.005,0.5475410157855959
0.8500000000000001,0.005,0.48757534956658777
0.9500000000000001,0.005,0.4089927860382094
1.05,0.005,0.3186607384558528
1.1500000000000001,0.005,0.22472343807226358
0.05,0.01,0.10670629669344067
0.15000000000000002,0.01,0.2898539293720686
0.25,0.01,0.433097584874723
0.35000000000000003,0.01,0.5374994240570611
0.45,0.01,0.6047949049540435
0.55,0.01,0.6366929349292219
0.6500000000000001,0.01,0.6354378136682878
0.7500000000000001,0.01,0.603879230518615
0.8500000000000001,0.01,0.5453797089821979
0.9500000000000001,0.01,0.46521604670978395
1.05,0.01,0.36914503458271486
1.1500000000000001,0.01,0.2656985476091573
0.05,0.05,0.11806643983802614
0.15000000000000002,0.05,0.3231500558407118
0.25,0.05,0.4872056034128401
0.35000000000000003,0.05,0.6109390825038624
0.45,0.05,0.6954625604239931
0.55,0.05,0.7418768328579359
0.6500000000000001,0.05,0.7516281793287697
0.7500000000000001,0.05,0.7265737511323459
0.8500000000000001,0.05,0.6691708008354872
0.9500000000000001,0.05,0.5826488614905481
1.05,0.05,0.4722027409778266
1.1500000000000001,0.05,0.34566658427647384
0.05,0.1,0.12240015972438967
0.15000000000000002,0.1,0.3356021133069196
0.25,0.1,0.5069636579196148
0.35000000000000003,0.1,0.6370620284991722
0.45,0.1,0.7268209091480571
0.55,0.1,0.7771612051883439
0.6500000000000001,0.1,0.7893173391449825
0.7500000000000001,0.1,0.7649169580394837
0.8500000000000001,0.1,0.7061876361439973
0.9500000000000001,0.1,0.616186807593075
1.05,0.1,0.5000290422528384
1.1500000000000001,0.1,0.3658090988278633
