% Model,SOFC - BV-MS.mph
% Version,COMSOL 6.2.0.339
% Date,"Feb 7 2024, 19:38"
% Table,"Solution 1/Stationary Solver 5, Segregated solver - "
% Iteration number,Error: Current Distribution,"Error: Velocity U_a, Pressure P_a",Error: Mass Fractions,"Error: Velocity U_f, Pressure P_f",Error: Mass Fractions (2)
1,0.32426497313710656,0.028904635662306655,1.5119868650827214E-4,0.015652564016991305,6.77745289374565E-4
2,0.0018551215987045212,0.015829948882750557,1.2415888368694567E-4,0.035303486206743916,0.0062434684225813695
3,2.1784692256111894E-4,0.010075257283639586,1.1384291301654475E-4,0.016289705568345057,0.005873129951833737
4,1.8150975419725798E-4,0.00698626991233428,1.0781621275029154E-4,0.00718826515866725,0.005391464555001207
5,1.665927019846355E-4,0.005101520121853265,1.0408664399717486E-4,0.003513842224892886,0.004946951753662095
6,1.532310167617317E-4,0.003809771252417966,1.0164710344140468E-4,0.002250317508540677,0.004544575432264969
7,1.4107093536413513E-4,0.0028640715540457543,9.990416208944993E-5,0.0019514839809608444,0.004178199592118853
8,1.2990568231854098E-4,0.0021537287874372887,9.850932636300907E-5,0.0018940957932374073,0.0038424954044252494
9,1.1962556997883729E-4,0.001617253455199699,9.726569359694321E-5,0.0018384315718412716,0.0035340790468376274
10,1.1015997768659301E-4,0.0012126299499215553,9.606825662276666E-5,0.0017529601291386735,0.0032505935943905055
11,1.0144891087960263E-4,9.084345249085786E-4,9.486614438937908E-5,0.0016480900964158615,0.0029900605299695146
12,9.343503093243706E-5,6.807149808144694E-4,9.363913580276397E-5,0.0015356719037896917,0.0027506479644612623
13,8.606346840535745E-5,5.110101840684487E-4,9.238338849975082E-5,0.001423593222488687,0.0025306385659620853
14,7.92828684045133E-5,3.8521479601998624E-4,9.110322681627716E-5,0.0013159051891889224,0.002328437837795737
15,7.30458060543178E-5,2.926364668935117E-4,8.980633975519089E-5,0.0012144234646760859,0.00214257832163635
16,6.73087103027759E-5,2.251969004151512E-4,8.850124974592706E-5,0.0011197870678817388,0.0019717108589614755
17,6.20315604038378E-5,1.7677232905357349E-4,8.71959746526435E-5,0.001031991798343009,0.001814602046891615
18,5.717764090660886E-5,1.4264911491969695E-4,8.589743016075158E-5,9.507813744388635E-4,0.0016701242492312403
19,5.2713245196360376E-5,1.1910862837574769E-4,8.461124448878042E-5,8.757748532363591E-4,0.001537243013223935
20,4.8607404771569395E-5,1.0315847118899996E-4,8.334188564595799E-5,8.066091816803336E-4,0.0014150135735184308
21,4.4831698850066776E-5,9.241879143249011E-5,8.209273268821487E-5,7.428734598532335E-4,0.0013025684163681319
