% Model,SOFC - BV-MS.mph
% Version,COMSOL 6.2.0.339
% Date,"Feb 7 2024, 19:37"
% Table,Probe Table - Average Current Density - 
% V_cell (V),sigma_io (S/cm),"Average cell current density (A/cm^2), Domain Probe - Average Current Density"
0.05,0.001,1.8961824545982604
0.15000000000000002,0.001,1.6859167309471705
0.25,0.001,1.4799447200898632
0.35000000000000003,0.001,1.277339097997082
0.45,0.001,1.0815703564330386
0.55,0.001,0.891275770859171
0.6500000000000001,0.001,0.7089553524386197
0.7500000000000001,0.001,0.5351270598589185
0.8500000000000001,0.001,0.3750054337940263
0.9500000000000001,0.001,0.22194985425207134
1.05,0.001,0.10779675008378466
1.1500000000000001,0.001,0.035087698560187515
0.05,0.005,1.9438195274058898
0.15000000000000002,0.005,1.7609940022150783
0.25,0.005,1.5560491659385556
0.35000000000000003,0.005,1.3548033782911981
0.45,0.005,1.1575341307250948
0.55,0.005,0.9637137859104383
0.6500000000000001,0.005,0.7757192768858356
0.7500000000000001,0.005,0.5946050331471293
0.8500000000000001,0.005,0.4225053254195349
0.9500000000000001,0.005,0.2562261256503003
1.05,0.005,0.12562094385018502
1.1500000000000001,0.005,0.04026028718682307
0.05,0.01,1.99166853165941
0.15000000000000002,0.01,1.808851734211581
0.25,0.01,1.6020494637330256
0.35000000000000003,0.01,1.3967873432142248
0.45,0.01,1.1962461476011574
0.55,0.01,0.9986985142377126
0.6500000000000001,0.01,0.8062787921910776
0.7500000000000001,0.01,0.6199654123469082
0.8500000000000001,0.01,0.44245919424511515
0.9500000000000001,0.01,0.2694367869000599
1.05,0.01,0.13206148773527623
1.1500000000000001,0.01,0.04196825501368859
0.05,0.05,2.0978689662504038
0.15000000000000002,0.05,1.9081659827124768
0.25,0.05,1.6940376672649007
0.35000000000000003,0.05,1.4823837702115177
0.45,0.05,1.2734118234874847
0.55,0.05,1.0664377890938894
0.6500000000000001,0.05,0.8637879170754492
0.7500000000000001,0.05,0.6661888381684203
0.8500000000000001,0.05,0.4769764140611988
0.9500000000000001,0.05,0.2914749258547335
1.05,0.05,0.14269087076499307
1.1500000000000001,0.05,0.04472130169035969
0.05,0.1,2.1343850894418432
0.15000000000000002,0.1,1.9406549707004015
0.25,0.1,1.7231393774900807
0.35000000000000003,0.1,1.5084777400503433
0.45,0.1,1.2964485625581228
0.55,0.1,1.086310088982675
0.6500000000000001,0.1,0.8803721854381864
0.7500000000000001,0.1,0.6793651380037931
0.8500000000000001,0.1,0.4872466735850987
0.9500000000000001,0.1,0.29766168335450793
1.05,0.1,0.14568201613852333
1.1500000000000001,0.1,0.04545814418919364
